,internal_id,media_outlet,policy
736,407,CNN,Does not mention
737,407,CNN,Does not mention
738,408,Fox,Does not mention
739,408,Fox,Does not mention
740,409,CNN,Does not mention
741,409,CNN,Does not mention
742,410,CNN,Does not mention
743,410,CNN,Does not mention
744,411,Fox,Does not mention
745,411,Fox,Does not mention
746,412,CNN,Supports
747,412,CNN,Supports
748,413,CNN,Does not mention
749,413,CNN,Does not mention
750,415,CNN,Neutral
751,415,CNN,Does not mention
752,417,CNN,Does not mention
753,417,CNN,Does not mention
754,418,Fox,Does not mention
755,418,Fox,Does not mention
756,419,NBC,Does not mention
757,419,NBC,Does not mention
758,420,MSNBC,Does not mention
759,420,MSNBC,Does not mention
760,421,CNN,Does not mention
761,421,CNN,Does not mention
762,422,CBS,Does not mention
763,422,CBS,Does not mention
764,423,CNN,Does not mention
765,423,CNN,Does not mention
766,424,MSNBC,Does not mention
767,424,MSNBC,Does not mention
768,426,ABC,Does not mention
769,426,ABC,Does not mention
770,428,CNN,Supports
771,428,CNN,Does not mention
772,429,MSNBC,Does not mention
773,429,MSNBC,Does not mention
774,431,CNN,Supports
775,431,CNN,Does not mention
776,432,CNN,Does not mention
777,432,CNN,Does not mention
778,433,CNN,Supports
779,433,CNN,Supports
780,434,CNN,Does not mention
781,434,CNN,Does not mention
782,435,Fox,Opposes
783,435,Fox,Opposes
784,436,CBS,Does not mention
785,436,CBS,Does not mention
786,438,MSNBC,Does not mention
787,438,MSNBC,Does not mention
788,439,MSNBC,Does not mention
789,439,MSNBC,Does not mention
790,440,CBS,Does not mention
791,440,CBS,Does not mention
792,441,CBS,Does not mention
793,441,CBS,Does not mention
794,443,NBC,Supports
795,443,NBC,Supports
796,444,NBC,Supports
797,444,NBC,Supports
798,445,Fox,Does not mention
799,445,Fox,Does not mention
800,446,CNN,Does not mention
801,446,CNN,Does not mention
802,447,CNN,Does not mention
803,447,CNN,Does not mention
804,448,ABC,Supports
805,448,ABC,Supports
806,449,ABC,Neutral
807,449,ABC,Supports
808,450,MSNBC,Does not mention
809,450,MSNBC,Does not mention
810,451,CBS,Supports
811,451,CBS,Supports
